series,cond,entry,f,stop_type,stop_param,N,stop_out,net_maker,ci_lo,ci_hi,wr,edge_ret,sig_maker
ICPUSDT-30m,ALL,PB,1.0,NOSL,0.0,5813,0.0,-118183345.68,-126440700.4,-110265745.8,0.882,1.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,10.0,5813,0.98,-14.63,-14.9,-14.4,0.02,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,20.0,5813,0.91,-20.19,-20.7,-19.7,0.09,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,30.0,5813,0.823,-23.63,-24.3,-23.0,0.177,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,50.0,5813,0.668,-26.38,-27.4,-25.3,0.332,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,75.0,5813,0.538,-27.76,-29.3,-26.3,0.462,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,100.0,5813,0.442,-27.26,-29.1,-25.5,0.558,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,150.0,5813,0.32,-24.54,-26.9,-22.2,0.68,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,200.0,5813,0.261,-25.58,-28.4,-22.9,0.739,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,300.0,5813,0.192,-26.61,-30.1,-23.1,0.808,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ABS,500.0,5813,0.137,-33.5,-38.2,-28.7,0.863,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ATR,0.5,5813,0.703,-27.8,-29.1,-26.5,0.297,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ATR,1.0,5813,0.455,-26.31,-28.5,-24.3,0.545,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ATR,1.5,5813,0.334,-25.21,-27.8,-22.5,0.666,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ATR,2.0,5813,0.262,-23.94,-27.1,-20.8,0.738,0.0,False
ICPUSDT-30m,ALL,PB,1.0,ATR,3.0,5813,0.188,-23.5,-27.5,-19.6,0.812,0.0,False
ICPUSDT-30m,ALL,PB,1.0,QMAE,50.0,5813,0.5,-27.58,-29.1,-26.0,0.5,0.0,False
ICPUSDT-30m,ALL,PB,1.0,QMAE,75.0,5813,0.253,-26.21,-29.1,-23.4,0.747,0.0,False
ICPUSDT-30m,ALL,PB,1.0,QMAE,90.0,5813,0.14,-32.24,-36.8,-27.6,0.86,0.0,False
ICPUSDT-30m,ALL,PB,1.0,QMAE,95.0,5813,0.124,-52.89,-59.3,-46.6,0.876,0.0,False
ICPUSDT-30m,ALL,PB,1.0,TIME,2.0,5813,0.0,-20.61,-22.7,-18.5,0.538,0.0,False
ICPUSDT-30m,ALL,PB,1.0,TIME,4.0,5813,0.0,-20.19,-22.9,-17.6,0.634,0.0,False
ICPUSDT-30m,ALL,PB,1.0,TIME,6.0,5813,0.0,-18.82,-21.7,-15.9,0.69,0.0,False
ICPUSDT-30m,ALL,PB,1.0,TIME,8.0,5813,0.0,-18.42,-21.5,-15.2,0.727,0.0,False
ICPUSDT-30m,ALL,PB,1.0,TIME,12.0,5813,0.0,-18.54,-22.2,-15.1,0.771,0.0,False
ICPUSDT-30m,ALL,PB,1.0,TIME,24.0,5813,0.0,-15.39,-19.5,-11.3,0.838,0.0,False
ICPUSDT-30m,quiet,PB,1.0,NOSL,0.0,2445,0.0,-75664593.12,-87116536.0,-65030646.3,0.924,1.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,10.0,2445,0.977,-13.66,-13.9,-13.4,0.023,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,20.0,2445,0.894,-19.19,-19.8,-18.5,0.106,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,30.0,2445,0.775,-21.12,-22.2,-20.0,0.225,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,50.0,2445,0.58,-20.67,-22.3,-19.0,0.42,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,75.0,2445,0.453,-21.47,-23.8,-19.3,0.547,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,100.0,2445,0.357,-19.7,-22.3,-17.2,0.643,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,150.0,2445,0.249,-16.92,-20.4,-13.8,0.751,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,200.0,2445,0.196,-16.46,-20.5,-12.8,0.804,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,300.0,2445,0.138,-16.15,-21.1,-11.6,0.862,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ABS,500.0,2445,0.094,-19.84,-26.5,-13.8,0.906,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ATR,0.5,2445,0.607,-23.08,-25.2,-21.0,0.393,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ATR,1.0,2445,0.349,-19.11,-22.2,-16.2,0.651,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ATR,1.5,2445,0.238,-15.79,-19.6,-12.0,0.762,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ATR,2.0,2445,0.186,-15.87,-20.2,-11.3,0.814,0.0,False
ICPUSDT-30m,quiet,PB,1.0,ATR,3.0,2445,0.128,-15.28,-21.1,-10.1,0.872,0.0,False
ICPUSDT-30m,quiet,PB,1.0,QMAE,50.0,2445,0.416,-21.15,-23.6,-18.8,0.584,0.0,False
ICPUSDT-30m,quiet,PB,1.0,QMAE,75.0,2445,0.188,-16.61,-20.7,-12.8,0.812,0.0,False
ICPUSDT-30m,quiet,PB,1.0,QMAE,90.0,2445,0.097,-19.07,-25.4,-13.3,0.903,0.0,False
ICPUSDT-30m,quiet,PB,1.0,QMAE,95.0,2445,0.083,-30.97,-39.5,-23.2,0.917,0.0,False
ICPUSDT-30m,quiet,PB,1.0,TIME,2.0,2445,0.0,-15.76,-18.6,-12.9,0.592,0.0,False
ICPUSDT-30m,quiet,PB,1.0,TIME,4.0,2445,0.0,-14.47,-18.1,-11.0,0.699,0.0,False
ICPUSDT-30m,quiet,PB,1.0,TIME,6.0,2445,0.0,-12.87,-17.3,-8.9,0.757,0.0,False
ICPUSDT-30m,quiet,PB,1.0,TIME,8.0,2445,0.0,-11.62,-16.2,-7.5,0.791,0.0,False
ICPUSDT-30m,quiet,PB,1.0,TIME,12.0,2445,0.0,-10.94,-16.0,-6.1,0.837,0.0,False
ICPUSDT-30m,quiet,PB,1.0,TIME,24.0,2445,0.0,-7.76,-13.3,-2.4,0.886,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,NOSL,0.0,2257,0.0,-116526335.62,-129818316.3,-102791288.2,0.883,1.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,10.0,2257,0.988,-16.43,-16.9,-15.9,0.012,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,20.0,2257,0.93,-23.02,-23.6,-22.4,0.07,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,30.0,2257,0.847,-27.4,-28.2,-26.5,0.153,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,50.0,2257,0.681,-31.04,-32.5,-29.5,0.319,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,75.0,2257,0.553,-34.14,-36.3,-32.1,0.447,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,100.0,2257,0.448,-33.72,-36.4,-31.1,0.552,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,150.0,2257,0.321,-31.79,-35.4,-28.2,0.679,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,200.0,2257,0.258,-32.3,-36.5,-28.1,0.742,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,300.0,2257,0.188,-33.57,-39.0,-28.0,0.812,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ABS,500.0,2257,0.135,-41.87,-49.5,-33.9,0.865,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ATR,0.5,2257,0.733,-34.27,-36.1,-32.5,0.267,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ATR,1.0,2257,0.467,-35.21,-38.3,-31.9,0.533,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ATR,1.5,2257,0.329,-32.47,-36.8,-28.4,0.671,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ATR,2.0,2257,0.257,-32.13,-37.4,-27.1,0.743,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,ATR,3.0,2257,0.183,-32.49,-39.1,-25.9,0.817,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,QMAE,50.0,2257,0.514,-34.28,-36.6,-32.0,0.486,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,QMAE,75.0,2257,0.25,-32.96,-37.3,-28.6,0.75,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,QMAE,90.0,2257,0.136,-39.73,-47.1,-32.2,0.864,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,QMAE,95.0,2257,0.123,-61.59,-71.5,-51.2,0.877,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,TIME,2.0,2257,0.0,-27.36,-30.7,-24.3,0.548,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,TIME,4.0,2257,0.0,-28.62,-33.2,-24.5,0.646,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,TIME,6.0,2257,0.0,-26.19,-31.2,-21.6,0.705,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,TIME,8.0,2257,0.0,-27.26,-32.7,-22.2,0.74,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,TIME,12.0,2257,0.0,-27.13,-33.1,-21.5,0.782,0.0,False
ICPUSDT-30m,uwd78,PB,1.0,TIME,24.0,2257,0.0,-27.21,-34.1,-20.4,0.841,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,NOSL,0.0,4012,0.0,-111914226.4,-121884316.3,-101944136.3,0.888,1.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,10.0,4012,0.984,-15.53,-15.9,-15.2,0.016,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,20.0,4012,0.923,-21.88,-22.4,-21.4,0.077,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,30.0,4012,0.836,-25.85,-26.6,-25.1,0.164,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,50.0,4012,0.676,-29.23,-30.4,-28.1,0.324,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,75.0,4012,0.539,-30.73,-32.4,-29.1,0.461,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,100.0,4012,0.439,-30.18,-32.3,-28.1,0.561,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,150.0,4012,0.315,-27.75,-30.5,-24.9,0.685,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,200.0,4012,0.255,-28.62,-31.9,-25.2,0.745,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,300.0,4012,0.187,-30.31,-34.5,-26.3,0.813,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ABS,500.0,4012,0.129,-35.12,-40.9,-29.3,0.871,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ATR,0.5,4012,0.713,-30.94,-32.4,-29.5,0.287,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ATR,1.0,4012,0.451,-29.47,-32.2,-27.0,0.549,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ATR,1.5,4012,0.325,-28.3,-31.7,-25.2,0.675,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ATR,2.0,4012,0.255,-27.49,-31.4,-23.8,0.745,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,ATR,3.0,4012,0.183,-27.91,-32.6,-23.1,0.817,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,QMAE,50.0,4012,0.499,-30.48,-32.3,-28.7,0.501,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,QMAE,75.0,4012,0.246,-29.01,-32.4,-25.6,0.754,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,QMAE,90.0,4012,0.133,-34.32,-39.9,-28.6,0.867,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,QMAE,95.0,4012,0.118,-54.27,-62.2,-46.3,0.882,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,TIME,2.0,4012,0.0,-23.8,-26.5,-21.3,0.547,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,TIME,4.0,4012,0.0,-23.77,-27.1,-20.6,0.645,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,TIME,6.0,4012,0.0,-22.81,-26.7,-19.1,0.701,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,TIME,8.0,4012,0.0,-22.64,-26.7,-18.7,0.738,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,TIME,12.0,4012,0.0,-22.2,-26.8,-17.6,0.78,0.0,False
ICPUSDT-30m,uwd79,PB,1.0,TIME,24.0,4012,0.0,-20.27,-25.5,-15.0,0.845,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,NOSL,0.0,2946,0.0,-108282380.88,-119484011.0,-97759637.8,0.892,1.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,10.0,2946,0.981,-14.67,-15.1,-14.3,0.019,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,20.0,2946,0.908,-19.91,-20.6,-19.2,0.092,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,30.0,2946,0.818,-23.32,-24.3,-22.3,0.182,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,50.0,2946,0.654,-25.25,-26.8,-23.7,0.346,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,75.0,2946,0.528,-26.93,-29.0,-24.9,0.472,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,100.0,2946,0.427,-25.4,-27.9,-22.8,0.573,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,150.0,2946,0.311,-23.34,-26.5,-20.1,0.689,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,200.0,2946,0.253,-23.92,-27.8,-20.1,0.747,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,300.0,2946,0.183,-24.32,-29.4,-19.6,0.817,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ABS,500.0,2946,0.126,-28.7,-35.3,-22.4,0.874,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ATR,0.5,2946,0.688,-26.46,-28.2,-24.5,0.312,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ATR,1.0,2946,0.437,-23.91,-26.9,-21.0,0.563,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ATR,1.5,2946,0.317,-22.43,-26.1,-18.7,0.683,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ATR,2.0,2946,0.246,-20.31,-24.7,-16.0,0.754,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,ATR,3.0,2946,0.178,-20.32,-25.8,-15.1,0.822,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,QMAE,50.0,2946,0.489,-26.61,-28.9,-24.3,0.511,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,QMAE,75.0,2946,0.245,-24.71,-28.7,-20.9,0.755,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,QMAE,90.0,2946,0.13,-28.21,-34.7,-22.2,0.87,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,QMAE,95.0,2946,0.113,-45.27,-54.2,-36.8,0.887,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,TIME,2.0,2946,0.0,-17.24,-20.1,-14.2,0.561,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,TIME,4.0,2946,0.0,-15.87,-19.4,-12.3,0.654,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,TIME,6.0,2946,0.0,-14.52,-18.5,-10.6,0.713,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,TIME,8.0,2946,0.0,-13.91,-18.0,-9.8,0.743,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,TIME,12.0,2946,0.0,-13.57,-18.1,-8.9,0.787,0.0,False
ICPUSDT-30m,prevBear,PB,1.0,TIME,24.0,2946,0.0,-10.32,-16.2,-4.7,0.85,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,NOSL,0.0,2714,0.0,-96536443.02,-107221778.4,-85851106.6,0.903,1.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,10.0,2714,0.979,-14.29,-14.6,-14.0,0.021,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,20.0,2714,0.901,-19.5,-20.2,-18.8,0.099,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,30.0,2714,0.806,-22.5,-23.5,-21.4,0.194,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,50.0,2714,0.644,-24.66,-26.2,-23.1,0.356,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,75.0,2714,0.514,-26.1,-28.2,-23.9,0.486,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,100.0,2714,0.422,-25.63,-28.3,-23.0,0.578,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,150.0,2714,0.301,-22.61,-26.0,-19.3,0.699,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,200.0,2714,0.242,-22.85,-26.7,-18.8,0.758,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,300.0,2714,0.172,-22.27,-27.1,-17.6,0.828,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ABS,500.0,2714,0.117,-25.39,-32.1,-18.8,0.883,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ATR,0.5,2714,0.676,-25.64,-27.6,-23.7,0.324,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ATR,1.0,2714,0.428,-23.39,-26.6,-20.4,0.572,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ATR,1.5,2714,0.311,-21.7,-25.7,-18.1,0.689,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ATR,2.0,2714,0.241,-20.16,-24.8,-15.8,0.759,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,ATR,3.0,2714,0.165,-15.92,-21.1,-11.0,0.835,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,QMAE,50.0,2714,0.476,-25.81,-28.1,-23.5,0.524,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,QMAE,75.0,2714,0.235,-23.53,-27.5,-19.4,0.765,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,QMAE,90.0,2714,0.12,-24.5,-30.8,-18.1,0.88,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,QMAE,95.0,2714,0.104,-40.41,-49.0,-31.8,0.896,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,TIME,2.0,2714,0.0,-17.78,-20.6,-15.0,0.554,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,TIME,4.0,2714,0.0,-14.81,-18.5,-11.4,0.655,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,TIME,6.0,2714,0.0,-13.66,-17.7,-9.7,0.717,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,TIME,8.0,2714,0.0,-13.77,-18.2,-9.2,0.754,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,TIME,12.0,2714,0.0,-11.68,-16.8,-6.9,0.8,0.0,False
ICPUSDT-30m,smaBelow,PB,1.0,TIME,24.0,2714,0.0,-6.32,-11.6,-1.2,0.862,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,NOSL,0.0,2197,0.0,-76012715.02,-86948082.8,-65088727.5,0.924,1.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,10.0,2197,0.976,-13.49,-13.8,-13.2,0.024,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,20.0,2197,0.89,-18.81,-19.5,-18.1,0.11,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,30.0,2197,0.765,-20.34,-21.4,-19.2,0.235,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,50.0,2197,0.578,-20.02,-21.8,-18.2,0.422,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,75.0,2197,0.449,-20.51,-22.7,-18.2,0.551,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,100.0,2197,0.356,-18.98,-21.7,-16.3,0.644,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,150.0,2197,0.25,-16.39,-19.9,-13.1,0.75,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,200.0,2197,0.198,-16.21,-20.2,-12.3,0.802,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,300.0,2197,0.141,-15.99,-21.1,-11.2,0.859,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ABS,500.0,2197,0.096,-19.42,-26.0,-12.9,0.904,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ATR,0.5,2197,0.602,-22.31,-24.4,-20.1,0.398,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ATR,1.0,2197,0.346,-18.21,-21.4,-14.9,0.654,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ATR,1.5,2197,0.24,-15.42,-19.7,-11.5,0.76,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ATR,2.0,2197,0.187,-15.42,-20.4,-10.7,0.813,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,ATR,3.0,2197,0.128,-14.68,-20.8,-9.0,0.872,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,QMAE,50.0,2197,0.413,-20.21,-22.6,-17.8,0.587,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,QMAE,75.0,2197,0.191,-16.37,-20.6,-12.4,0.809,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,QMAE,90.0,2197,0.098,-18.77,-25.3,-12.3,0.902,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,QMAE,95.0,2197,0.083,-30.09,-39.1,-21.3,0.917,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,TIME,2.0,2197,0.0,-14.88,-17.8,-11.9,0.588,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,TIME,4.0,2197,0.0,-13.21,-17.0,-9.6,0.697,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,TIME,6.0,2197,0.0,-12.31,-16.8,-8.1,0.753,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,TIME,8.0,2197,0.0,-11.0,-15.7,-6.6,0.787,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,TIME,12.0,2197,0.0,-10.34,-15.8,-5.2,0.834,0.0,False
ICPUSDT-30m,C3_w8q,PB,1.0,TIME,24.0,2197,0.0,-6.68,-12.7,-1.0,0.885,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,NOSL,0.0,1457,0.0,-102951228.2,-119423432.0,-87834548.0,0.897,1.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,10.0,1457,0.975,-13.38,-13.8,-13.0,0.025,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,20.0,1457,0.889,-17.56,-18.6,-16.4,0.111,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,30.0,1457,0.796,-20.13,-21.6,-18.6,0.204,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,50.0,1457,0.633,-21.01,-23.3,-18.7,0.367,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,75.0,1457,0.51,-22.14,-25.2,-19.0,0.49,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,100.0,1457,0.427,-22.33,-26.0,-18.4,0.573,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,150.0,1457,0.306,-18.27,-22.9,-13.1,0.694,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,200.0,1457,0.252,-19.63,-25.4,-13.9,0.748,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,300.0,1457,0.183,-19.85,-27.0,-12.5,0.817,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ABS,500.0,1457,0.124,-22.04,-31.9,-12.4,0.876,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ATR,0.5,1457,0.646,-21.26,-24.2,-18.4,0.354,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ATR,1.0,1457,0.418,-18.27,-22.4,-13.8,0.582,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ATR,1.5,1457,0.314,-18.65,-24.0,-12.9,0.686,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ATR,2.0,1457,0.245,-17.13,-23.4,-10.5,0.755,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,ATR,3.0,1457,0.172,-13.35,-20.9,-5.9,0.828,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,QMAE,50.0,1457,0.474,-21.72,-24.9,-18.3,0.526,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,QMAE,75.0,1457,0.246,-20.7,-26.5,-14.8,0.754,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,QMAE,90.0,1457,0.128,-21.74,-31.0,-12.1,0.872,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,QMAE,95.0,1457,0.113,-39.91,-53.4,-27.4,0.887,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,TIME,2.0,1457,0.0,-13.14,-17.4,-8.7,0.553,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,TIME,4.0,1457,0.0,-10.33,-15.6,-5.2,0.651,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,TIME,6.0,1457,0.0,-9.76,-15.5,-3.7,0.706,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,TIME,8.0,1457,0.0,-9.74,-15.6,-3.8,0.737,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,TIME,12.0,1457,0.0,-10.42,-17.9,-3.0,0.782,0.0,False
ICPUSDT-30m,C6_w9dip,PB,1.0,TIME,24.0,1457,0.0,-2.88,-10.4,4.5,0.849,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,NOSL,0.0,955,0.0,-81675371.72,-98429299.1,-63874323.7,0.918,1.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,10.0,955,0.988,-14.64,-15.0,-14.3,0.012,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,20.0,955,0.923,-21.6,-22.3,-20.9,0.077,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,30.0,955,0.795,-24.16,-25.4,-22.8,0.205,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,50.0,955,0.579,-24.16,-26.4,-21.9,0.421,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,75.0,955,0.459,-26.48,-29.5,-23.3,0.541,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,100.0,955,0.352,-24.06,-27.6,-20.2,0.648,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,150.0,955,0.242,-21.57,-26.3,-16.7,0.758,0.0,False
ICPUSDT-30m,CQ7_w78q,PB,1.0,ABS,200.0,955,0.192,-21.85,-27.7,-16.2,0.808,0.0,False
